h1,h2,loss,train_acc,valid_acc,time_s
2048,1024,0.5556562545201967,0.86074,0.8553,3.598787541999627
1024,512,0.5797901482838194,0.85366,0.8477,1.1400070000017877
512,256,0.6024407317571323,0.84898,0.8434,0.45222199999989243
256,128,0.6355666138631914,0.8435,0.8376,0.22772025000085705
128,64,0.6606256158455558,0.83586,0.8287,0.1415692089976801
